Artist,Song,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Billy Idol,Rebel Yell - Remastered 1999,2ZTIw0fZhFp3nnvF41nvVc,0.534,0.694,9.0,-9.296,0.0,0.0472,0.000466,0.0485,0.155,0.45,166.791,audio_features,spotify:track:2ZTIw0fZhFp3nnvF41nvVc,https://api.spotify.com/v1/tracks/2ZTIw0fZhFp3nnvF41nvVc,https://api.spotify.com/v1/audio-analysis/2ZTIw0fZhFp3nnvF41nvVc,286840.0,4.0
Billy Idol,White Wedding - Pt. 1 / Remastered 2002,029Q1AJFCWz3g5k2UV1O46,0.65,0.826,9.0,-6.107,1.0,0.0361,0.016,0.00163,0.334,0.764,147.341,audio_features,spotify:track:029Q1AJFCWz3g5k2UV1O46,https://api.spotify.com/v1/tracks/029Q1AJFCWz3g5k2UV1O46,https://api.spotify.com/v1/audio-analysis/029Q1AJFCWz3g5k2UV1O46,253280.0,4.0
Capital Cities,Safe And Sound,1fzJyTCKeZuTSLByCsLRHl,0.649,0.807,0.0,-4.834,1.0,0.0301,0.000178,0.0074,0.0599,0.816,117.964,audio_features,spotify:track:1fzJyTCKeZuTSLByCsLRHl,https://api.spotify.com/v1/tracks/1fzJyTCKeZuTSLByCsLRHl,https://api.spotify.com/v1/audio-analysis/1fzJyTCKeZuTSLByCsLRHl,193227.0,5.0
The Killers,When You Were Young,70wYA8oYHoMzhRRkARoMhU,0.467,0.988,11.0,-3.313,1.0,0.112,0.000152,0.0484,0.28,0.321,130.433,audio_features,spotify:track:70wYA8oYHoMzhRRkARoMhU,https://api.spotify.com/v1/tracks/70wYA8oYHoMzhRRkARoMhU,https://api.spotify.com/v1/audio-analysis/70wYA8oYHoMzhRRkARoMhU,220427.0,4.0
Jonathan Coulton,Re: Your Brains,2mzuAU3JdBAYIdpFb1znOR,0.596,0.576,0.0,-6.941,1.0,0.0267,0.324,0.0,0.202,0.468,80.035,audio_features,spotify:track:2mzuAU3JdBAYIdpFb1znOR,https://api.spotify.com/v1/tracks/2mzuAU3JdBAYIdpFb1znOR,https://api.spotify.com/v1/audio-analysis/2mzuAU3JdBAYIdpFb1znOR,272280.0,4.0
Jonathan Coulton,The Future Soon,2chEZfdAqJvlw9dM3hAU6p,0.594,0.723,2.0,-6.571,1.0,0.0276,0.0304,0.0,0.0877,0.511,100.002,audio_features,spotify:track:2chEZfdAqJvlw9dM3hAU6p,https://api.spotify.com/v1/tracks/2chEZfdAqJvlw9dM3hAU6p,https://api.spotify.com/v1/audio-analysis/2chEZfdAqJvlw9dM3hAU6p,230320.0,4.0
Jonathan Coulton,Code Monkey,1rIFZk9tTUtHP3vULR5wXe,0.569,0.612,4.0,-6.333,1.0,0.0423,0.0842,0.0,0.0858,0.78,159.938,audio_features,spotify:track:1rIFZk9tTUtHP3vULR5wXe,https://api.spotify.com/v1/tracks/1rIFZk9tTUtHP3vULR5wXe,https://api.spotify.com/v1/audio-analysis/1rIFZk9tTUtHP3vULR5wXe,190560.0,4.0
Daft Punk,Give Life Back to Music,0dEIca2nhcxDUV8C5QkPYb,0.788,0.616,9.0,-10.671,0.0,0.0337,0.00286,0.549,0.0952,0.696,119.037,audio_features,spotify:track:0dEIca2nhcxDUV8C5QkPYb,https://api.spotify.com/v1/tracks/0dEIca2nhcxDUV8C5QkPYb,https://api.spotify.com/v1/audio-analysis/0dEIca2nhcxDUV8C5QkPYb,275387.0,4.0
Daft Punk,Doin' it Right (feat. Panda Bear),36c4JohayB9qd64eidQMBi,0.804,0.451,6.0,-8.207,1.0,0.0949,0.388,2.17e-05,0.0924,0.19,178.061,audio_features,spotify:track:36c4JohayB9qd64eidQMBi,https://api.spotify.com/v1/tracks/36c4JohayB9qd64eidQMBi,https://api.spotify.com/v1/audio-analysis/36c4JohayB9qd64eidQMBi,251293.0,4.0
The Prodigy,Smack My Bitch Up,3tehrxZR8eaANHov4cEctL,0.607,0.993,10.0,-4.511,0.0,0.148,0.00314,0.593,0.112,0.229,136.208,audio_features,spotify:track:3tehrxZR8eaANHov4cEctL,https://api.spotify.com/v1/tracks/3tehrxZR8eaANHov4cEctL,https://api.spotify.com/v1/audio-analysis/3tehrxZR8eaANHov4cEctL,342733.0,4.0
Tenacious D,The Metal,5rDy3kaQcVp4P6NAhjTsih,0.613,0.93,2.0,-4.116,1.0,0.131,0.00301,0.00119,0.535,0.352,112.213,audio_features,spotify:track:5rDy3kaQcVp4P6NAhjTsih,https://api.spotify.com/v1/tracks/5rDy3kaQcVp4P6NAhjTsih,https://api.spotify.com/v1/audio-analysis/5rDy3kaQcVp4P6NAhjTsih,165960.0,4.0
Tenacious D,Double Team,3ojBGxHAH27JDsLK6Q6nLD,0.448,0.909,4.0,-4.521,0.0,0.247,0.122,3.01e-05,0.166,0.255,97.177,audio_features,spotify:track:3ojBGxHAH27JDsLK6Q6nLD,https://api.spotify.com/v1/tracks/3ojBGxHAH27JDsLK6Q6nLD,https://api.spotify.com/v1/audio-analysis/3ojBGxHAH27JDsLK6Q6nLD,190320.0,4.0
Tenacious D,Tribute,53XBXgtdqf1gmWMm3rqV27,0.365,0.767,9.0,-6.185,0.0,0.0681,0.181,0.000856,0.0942,0.422,94.174,audio_features,spotify:track:53XBXgtdqf1gmWMm3rqV27,https://api.spotify.com/v1/tracks/53XBXgtdqf1gmWMm3rqV27,https://api.spotify.com/v1/audio-analysis/53XBXgtdqf1gmWMm3rqV27,248053.0,4.0
The Goo Goo Dolls,Come to Me,1jvoeTYt8usIxGWQUSzEyz,0.589,0.669,0.0,-4.835,1.0,0.0253,0.0505,0.0,0.131,0.421,92.06,audio_features,spotify:track:1jvoeTYt8usIxGWQUSzEyz,https://api.spotify.com/v1/tracks/1jvoeTYt8usIxGWQUSzEyz,https://api.spotify.com/v1/audio-analysis/1jvoeTYt8usIxGWQUSzEyz,225333.0,4.0
Rasputina,Transylvanian Concubine (The Manson Mix (Radio Edit))** - The Manson Mix (Radio Edit),2SXswiR0TE3AULlCwvgg5E,0.666,0.765,1.0,-7.859,0.0,0.0973,3.86e-05,0.00529,0.81,0.563,103.971,audio_features,spotify:track:2SXswiR0TE3AULlCwvgg5E,https://api.spotify.com/v1/tracks/2SXswiR0TE3AULlCwvgg5E,https://api.spotify.com/v1/audio-analysis/2SXswiR0TE3AULlCwvgg5E,173693.0,4.0
Michael Andrews,Mad World,6FvSJjsxM3o5ctpexdB31e,0.353,0.0811,3.0,-14.573,1.0,0.0351,0.966,2.27e-06,0.104,0.356,173.415,audio_features,spotify:track:6FvSJjsxM3o5ctpexdB31e,https://api.spotify.com/v1/tracks/6FvSJjsxM3o5ctpexdB31e,https://api.spotify.com/v1/audio-analysis/6FvSJjsxM3o5ctpexdB31e,187933.0,4.0
